pm10,pm25,so2,co,o3,no2,categori
61,84,23,18,20,42,2
22,38,28,9,43,10,3
39,57,34,11,42,13,2
23,51,33,9,57,10,2
63,80,40,17,49,23,2
54,69,30,13,59,18,2
43,61,32,10,36,15,2
30,52,33,9,43,8,2
39,57,34,10,40,14,2
53,64,32,10,49,25,2
44,61,34,9,50,19,2
54,72,42,12,60,22,2
69,93,51,20,54,23,2
70,82,63,14,64,21,2
65,81,55,16,65,22,2
67,85,55,21,50,34,2
69,94,55,17,50,28,2
76,101,56,16,50,22,1
63,92,52,11,60,14,2
75,101,51,15,65,20,1
88,115,61,17,73,25,1
74,101,55,15,58,20,1
64,87,52,10,59,14,2
74,97,51,11,65,17,2
61,81,51,13,56,18,2
69,85,60,15,44,26,2
71,91,57,14,55,21,2
28,52,26,5,35,7,2
51,70,33,8,37,10,2
35,51,32,3,34,5,2
48,69,26,16,33,19,2
52,72,27,14,32,22,2
50,75,19,7,32,14,2
58,93,19,13,27,17,2
57,83,20,8,39,14,2
70,100,20,11,32,16,2
57,73,19,9,41,15,2
59,88,19,13,27,19,2
57,84,19,10,26,16,2
64,104,13,9,34,16,1
51,80,11,9,32,16,2
39,23,10,12,26,17,3
22,49,41,7,18,12,3
37,62,44,11,18,12,2
39,67,42,9,22,14,2
64,103,43,26,23,20,1
52,80,43,14,23,16,2
30,50,43,6,15,10,3
37,60,20,12,12,17,2
38,55,20,15,14,28,2
49,67,19,21,17,35,2
51,75,22,18,19,31,2
52,69,20,16,16,30,2
51,73,20,22,15,37,2
57,88,23,23,19,31,2
47,63,21,16,11,19,2
36,50,23,15,10,22,3
45,65,20,20,14,27,2
27,35,19,9,15,21,3
44,58,24,12,13,25,2
37,62,27,13,13,25,2
39,60,23,14,10,19,2
45,70,29,18,13,34,2
55,80,32,13,21,36,2
59,93,25,19,20,45,2
64,102,30,15,25,40,1
60,88,29,14,24,35,2
55,80,28,16,19,31,2
43,55,21,11,18,17,2
38,61,21,13,14,18,2
37,54,23,11,12,16,2
32,53,21,10,9,15,2
25,47,22,9,14,17,3
50,69,23,19,19,28,2
53,71,29,13,18,33,2
54,75,20,15,31,31,2
55,77,19,19,21,37,2
53,69,24,15,14,30,2
43,57,22,13,15,23,2
48,66,45,13,38,18,2
55,61,50,12,53,21,2
59,76,46,19,50,30,2
56,79,45,16,49,28,2
65,81,54,16,59,26,2
71,89,59,23,52,31,2
60,84,29,23,51,27,2
52,65,28,16,41,15,2
51,55,27,13,33,15,2
56,81,42,21,42,26,2
38,50,26,9,43,9,3
51,60,27,12,45,19,2
40,58,29,11,41,16,2
50,62,27,12,37,15,2
51,72,33,15,49,19,2
67,89,41,13,57,25,2
78,107,55,20,53,41,1
78,115,43,14,74,23,1
73,93,39,13,59,26,2
61,94,41,15,56,24,2
47,58,29,11,51,14,2
45,67,30,13,43,17,2
48,55,30,9,44,11,2
33,57,27,11,37,8,2
36,53,29,9,41,13,2
57,77,35,18,53,21,2
62,83,49,12,63,19,2
57,76,43,15,71,18,2
65,88,48,18,67,25,2
53,68,34,13,55,17,2
39,58,30,12,48,18,2
62,97,28,13,21,14,2
54,71,26,13,41,14,2
57,83,27,18,38,20,2
56,77,29,13,28,19,2
54,77,31,11,39,20,2
54,80,27,17,34,18,2
64,93,28,18,31,19,2
53,77,28,11,18,10,2
41,63,30,7,19,10,2
60,89,28,14,25,14,2
29,52,26,7,28,11,2
66,99,29,13,29,15,2
53,72,29,7,23,9,2
52,73,28,10,16,10,2
51,76,28,9,25,10,2
59,88,40,8,41,18,2
71,106,32,11,39,19,1
61,99,35,7,42,18,2
59,87,33,7,39,14,2
65,106,31,12,45,17,1
81,118,27,15,37,16,1
62,93,26,15,36,10,2
51,77,26,9,27,8,2
43,64,26,6,27,8,2
38,62,26,7,28,9,2
55,79,27,13,39,11,2
51,73,30,11,56,19,2
47,63,27,10,43,17,2
51,19,26,14,48,21,2
59,24,29,10,33,20,2
56,22,12,18,32,25,2
56,96,40,13,19,9,2
46,81,39,17,29,14,2
81,108,66,18,44,35,1
62,75,55,14,44,28,2
59,72,54,14,38,27,2
